Row;Title;Country;Saga;Genre;Animation;Hours Viewed;Views;Image URL V;Image URL H;Image URL Saga
140;Hotel Transylvania (2012);USA;Hotel Transylvania;Comedy;Yes;41000000;26700000;;;https://image.tmdb.org/t/p/original/eJGvzGrsfe2sqTUPv5IwLWXjVuR.jpg
141;The Christmas Chronicles: Part Two;USA;The Christmas Chronicles: Part Two;Family/Adventure/Comedy;No;49700000;26000000;;;
142;Purple Hearts;USA;Purple Hearts;Romance/Drama;No;54000000;25900000;;;
145;aka Charlie Sheen: Season 1;USA;aka Charlie Sheen;Documentary;No;78100000;25700000;;;
144;Extraction 2;USA;Extraction;Action;No;53100000;25700000;;;
143;Spenser Confidential;USA;Spenser Confidential;Action/Comedy;No;47400000;25700000;;;
146;Jumanji: The Next Level;USA;Jumanji;Action/Adventure;No;52100000;25400000;;;
149;Our Little Secret;USA;Our Little Secret;Romance/Comedy;No;42500000;25300000;;;
148;Trigger Warning;USA;Trigger Warning;Action;No;45200000;25300000;;;
147;Troll;Norway;Troll;Fantasy/Action;No;43800000;25300000;;;
150;Almost Cops // Bad Boa's;Netherlands;Almost Cops;Action Comedy;No;40700000;25200000;;;
152;Shrek Forever After;USA;Shrek;Family;Yes;39200000;24800000;;;https://image.tmdb.org/t/p/original/iB64vpL3dIObOtMZgX3RqdVdQDc.jpg
151;The Garfield Movie;USA;The Garfield Movie;Comedy;Yes;41900000;24800000;;;
153;Alpha (2018);USA;Alpha;Adventure/Drama;No;39900000;24700000;;;
154;Blended (2014);USA;Blended;Comedy;No;47800000;24600000;;;
155;She Said Maybe;USA;She Said Maybe;Romance/Comedy;No;43900000;24600000;;;
156;The Fate of the Furious;USA;The Fate of the Furious;Action;No;55400000;24400000;;;
157;Lucy (2014);France/USA;Lucy;Sci-Fi/Action;No;36100000;24300000;;;
158;Journey 2: The Mysterious Island;USA;Journey 2: The Mysterious Island;Adventure/Fantasy;No;37800000;24200000;;;
159;Anyone But You;USA;Anyone But You;Romance/Comedy;No;41800000;24100000;;;
160;Furiosa: A Mad Max Saga;USA/Australia;Furiosa: A Mad Max Saga;Action/Sci-Fi;No;59400000;24100000;;;
161;Delicious;Germany;Delicious;Drama/Thriller;No;40600000;23900000;;;
163;365 Days (2020);Poland;365 Days;Erotic Drama/Thriller;No;45700000;23800000;;;
162;Where the Crawdads Sing;USA;Where the Crawdads Sing;Drama/Mystery;No;49500000;23800000;;;
164;Spider-Man: Into the Spider-Verse;USA;Spider-Man: Into the Spider-Verse;Sci-Fi;Yes;46300000;23700000;;;
165;Lift;USA;Lift;Action/Heist;No;42000000;23600000;;;
166;Penguins of Madagascar: The Movie;USA;Madagascar;Family;Yes;36000000;23500000;;;
167;It Ends With Us;USA;It Ends With Us;Romance/Drama;No;51200000;23400000;;;
168;Spider-Man: No Way Home;USA;Spider-Man: No Way Home;Action/Sci-Fi;No;57300000;23300000;;;
169;Sonic the Hedgehog 2;USA/Japan;Sonic the Hedgehog;Action;No;48000000;23200000;;;
170;Just Go With It;USA;Just Go With It;Romance/Comedy;No;44900000;23100000;;;
171;Don't Move;USA;Don't Move;Thriller;No;35200000;23000000;;;
172;Spy Kids: Armageddon;USA;Spy Kids: Armageddon;Family Action/Comedy;No;37400000;22900000;;;
173;Now You See Me;USA;Now You See Me;Mystery/Thriller;No;43500000;22700000;;;
175;The Elixir // Abadi Nan Jaya;Indonesia;The Elixir;Fantasy/Drama;No;44600000;22700000;;;
174;The Mother;USA;The Mother;Action/Thriller;No;44100000;22700000;;;
177;Bogotá: City of the Lost // 보고타: 마지막 기회의 땅;South Korea/Colombia;Bogotá: City of the Lost;Crime/Drama;No;40300000;22600000;;;
176;Smurfs: The Lost Village;USA/Belgium;Smurfs: The Lost Village;Comedy;Yes;33900000;22600000;;;
179;Leave the World Behind;USA;Leave the World Behind;Thriller/Drama;No;53200000;22500000;;;
178;Ma (2019);USA;Ma;Horror/Thriller;No;37100000;22500000;;;
180;Alvin and the Chipmunks: Chipwrecked;USA;Alvin and the Chipmunks;Comedy;Yes;32300000;22300000;;;
181;Fast & Furious Presents: Hobbs & Shaw;USA;Fast & Furious;Action;No;50300000;22200000;;;
182;Wallace & Gromit: Vengeance Most Fowl;UK;Wallace & Gromit: Vengeance Most Fowl;Comedy;Yes;30400000;22200000;;;
