Title;Hours Viewed;Views
Sniper: Assassin's End;26100000;16500000
Law Abiding Citizen;29700000;16400000
Geostorm;29900000;16400000
Fifty Shades Freed;28600000;16300000
Day Shift;30800000;16300000
Under the Boardwalk (2022);23400000;16200000
Barbie Dolphin Magic;17200000;16200000
Central Intelligence;29100000;16200000
Sicario (2015);32400000;16100000
Bloodshot (2020);29300000;16100000
The Twilight Saga: Eclipse;33400000;16100000
The Croods: A New Age;25400000;16100000
Uglies;27100000;16000000
Madagascar (2005);23000000;16000000
Until Dawn (2025);27400000;16000000
Officer Black Belt // 무도실무관;28900000;15900000
The Twilight Saga: Breaking Dawn: Part 1;31000000;15900000
Over the Moon;26800000;15900000
Back to the Future (1985);30600000;15900000
Roald Dahl's Matilda The Musical;32300000;15900000
Disaster Holiday;24700000;15900000
Blippi's Big Dino Adventure;17700000;15800000
The Most Beautiful Girl in the World;32300000;15800000
Focus (2015);27600000;15800000
Ted (2012);27900000;15800000
The Maze Runner;29500000;15700000
Blacklight (2022);27400000;15700000
Our Times // Nuestros tiempos;23700000;15700000
Man on Fire (2004);38200000;15700000
Nadaaniyan // नादानियां;31000000;15600000
The Woman King;35200000;15600000
The School for Good and Evil;38400000;15500000
Ride Along 2;26500000;15500000
Eye for an Eye (1996);26400000;15500000
M3GAN;26300000;15500000
Fifty Shades Darker;30600000;15500000
Ballad of a Small Player;26300000;15300000
Jaat // जाट;38100000;15300000
Beetlejuice Beetlejuice;26900000;15300000
The Shadow Strays;36800000;15200000
The Marksman (2021);27100000;15200000
Alvin and the Chipmunks: The Road Chip;23300000;15200000
The Unforgivable;28800000;15200000
John Wick;25500000;15200000
Kung Fu Panda;23600000;15100000
Barbie (2023);28700000;15100000
The Watchers;25700000;15100000
Trouble // Strul;24700000;15100000
Deva // कोई शक;39000000;15100000
Miraculous: Ladybug & Cat Noir, The Movie;25600000;15100000
Scarface;42500000;15000000
Time Cut;22900000;14900000
White House Down;32700000;14900000
Copycat (1995);30200000;14800000
Freelance (2023);26800000;14800000
Transformers: The Last Knight;38400000;14800000
It Takes Two (1995);24700000;14700000
HIT: The Third Case;37800000;14700000
John Wick: Chapter 4;41300000;14700000
Saiyaara // सैयारा;36700000;14700000
Welcome to Sudden Death;19500000;14600000
Oklahoma City Bombing: American Terror;20700000;14600000
Runaway Jury;30800000;14500000
13 Hours: The Secret Soldiers of Benghazi;34800000;14500000
Alvin and the Chipmunks: The Squeakquel;21500000;14500000
Promised Hearts // Setetes Embun Cinta Niyala;27500000;14400000
A Dog's Way Home;23100000;14400000
28 Years Later;27400000;14300000
Daddy's Home 2;24100000;14300000
The Diplomat // डिप्लोमैट;31500000;14200000
Mad Max: Fury Road;28600000;14200000
Karol G: Tomorrow was Beautiful // Karol G: Mañana fue muy bonito;25700000;14200000
Rush Hour 2;21300000;14200000
Mary Mother of Jesus;26400000;14100000
Ticket to Paradise (2022);24400000;14100000
Meg 2: The Trench;27100000;14000000
Lou;25300000;14000000
Barnyard;21000000;14000000
Liar Liar (1997);20300000;14000000
Jack Reacher: Never Go Back;27500000;14000000
50 First Dates;23000000;14000000
Inside Furioza // Druga Furioza;38600000;13900000
Ocean's 8;25600000;13900000
The Weekend Away;20900000;13800000
Trial by Fire (2018);29300000;13800000
Maze Runner: The Scorch Trials;30300000;13800000
Harry Potter and the Chamber of Secrets;36900000;13800000
Five Nights at Freddy's;25200000;13800000
Lonely Planet;22000000;13800000
Family Switch;24400000;13800000
The Deliverance;26000000;13800000
The Wages of Fear // Le salaire de la peur;24200000;13700000
The Sum of All Fears;28300000;13700000
Pixels (2015);24100000;13700000
Interceptor;22600000;13700000
The Star (2017);19700000;13600000
Jumanji: Welcome to the Jungle;27100000;13600000
Anacondas: The Hunt for the Blood Orchid;22100000;13600000
Sniper: Ultimate Kill;21100000;13600000
Klaus;22100000;13600000
Baywatch (2017);26400000;13500000
The Last Witch Hunter;24200000;13500000
Rango (2011);24700000;13500000
The Passion of the Christ;27200000;13500000
Hubie Halloween;23200000;13400000
